"","day","v1","v2","v3","v4","v5","v6"
"1",2010-01-01,64415,317869,509909,225266,770248,194280
"2",2010-01-02,64420,317892,509946,225282,770305,194295
"3",2010-01-03,64424,317916,509984,225299,770362,194309
"4",2010-01-04,64429,317939,510022,225316,770419,194323
"5",2010-01-05,64434,317963,510060,225332,770476,194338
"6",2010-01-06,64439,317986,510097,225349,770533,194352
"7",2010-01-07,64443,318010,510135,225366,770590,194367
"8",2010-01-08,64448,318033,510173,225382,770647,194381
"9",2010-01-09,64453,318057,510210,225399,770704,194395
"10",2010-01-10,64458,318080,510248,225416,770761,194410
"11",2010-01-11,64462,318104,510286,225432,770818,194424
"12",2010-01-12,64467,318127,510324,225449,770875,194438
"13",2010-01-13,64472,318151,510361,225466,770932,194453
"14",2010-01-14,64477,318174,510399,225482,770989,194467
"15",2010-01-15,64481,318198,510437,225499,771046,194482
"16",2010-01-16,64486,318221,510474,225516,771103,194496
"17",2010-01-17,64491,318245,510512,225532,771160,194510
"18",2010-01-18,64496,318268,510550,225549,771217,194525
"19",2010-01-19,64501,318292,510588,225566,771273,194539
"20",2010-01-20,64505,318315,510625,225582,771330,194553
"21",2010-01-21,64510,318339,510663,225599,771387,194568
"22",2010-01-22,64515,318362,510701,225616,771444,194582
"23",2010-01-23,64520,318386,510738,225632,771501,194597
"24",2010-01-24,64524,318409,510776,225649,771558,194611
"25",2010-01-25,64529,318433,510814,225666,771615,194625
"26",2010-01-26,64534,318456,510852,225682,771672,194640
"27",2010-01-27,64539,318480,510889,225699,771729,194654
"28",2010-01-28,64543,318503,510927,225716,771786,194668
"29",2010-01-29,64548,318527,510965,225732,771843,194683
"30",2010-01-30,64553,318550,511002,225749,771900,194697
"31",2010-01-31,64558,318574,511040,225766,771957,194712
"32",2010-02-01,64562,318597,511078,225782,772014,194726
"33",2010-02-02,64567,318621,511116,225799,772071,194740
"34",2010-02-03,64572,318644,511153,225816,772128,194755
"35",2010-02-04,64577,318668,511191,225832,772185,194769
"36",2010-02-05,64582,318691,511229,225849,772242,194783
"37",2010-02-06,64586,318715,511266,225866,772299,194798
"38",2010-02-07,64591,318738,511304,225882,772356,194812
"39",2010-02-08,64596,318762,511342,225899,772413,194827
"40",2010-02-09,64601,318785,511380,225916,772470,194841
"41",2010-02-10,64605,318809,511417,225932,772527,194855
"42",2010-02-11,64610,318833,511455,225949,772584,194870
"43",2010-02-12,64615,318856,511493,225966,772641,194884
"44",2010-02-13,64620,318880,511530,225982,772698,194898
"45",2010-02-14,64624,318903,511568,225999,772755,194913
"46",2010-02-15,64629,318927,511606,226015,772812,194927
"47",2010-02-16,64634,318950,511644,226032,772869,194942
"48",2010-02-17,64639,318974,511681,226049,772926,194956
"49",2010-02-18,64643,318997,511719,226065,772983,194970
"50",2010-02-19,64648,319021,511757,226082,773040,194985
"51",2010-02-20,64653,319044,511794,226099,773097,194999
"52",2010-02-21,64658,319068,511832,226115,773154,195013
"53",2010-02-22,64663,319091,511870,226132,773211,195028
"54",2010-02-23,64667,319115,511908,226149,773268,195042
