csid,diary_type,diary_keeper,age_years_part,age_class_part,sex,age_class_cont,part_educ_stat,part_job,shadow_present,shadow_num,fam_rel,share_hh,same_room,share_bed,ever_met,how_often,difficulties_filling_diary,difficulty_comments,record_all_contacts,record_contacts_comments,behaviour_change,behaviour_change_comments,other_comments,dok_year,day,loc_stat,season
1,Picture,Participant,16.2,4,Male,Secondary,05-Aug,Student,0,0,Sibling,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no comment,2011,1,1,0
1,Picture,Participant,16.2,4,Male,Secondary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no comment,2011,1,1,0
1,Picture,Participant,16.2,4,Male,Primary,05-Aug,Student,0,0,Sibling,Yes,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no comment,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Secondary,0,Unemployed,1,1,Sibling,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Pre-School,0,Unemployed,1,1,Other relative,Yes,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Sibling,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
