"","Vacc_scenario","Year","sample","Age <1","Age 1-5","Age 6-14","Age 15-19","Age 20-49","Age 50+"
"1",1,"2010","10336",246139.70103272,1414796.25617875,2402183.6362972,553621.020242568,1594485.51493962,886976.503257482
"2",1,"2010","12234",219169.886536699,1293951.58868311,2194670.85465845,339823.026615199,1016960.16586557,1160901.91474423
"3",1,"2010","12816",206058.825102873,1074562.38660286,1773269.95578159,815558.648202461,2407079.11181596,1097637.90166153
"4",1,"2010","12839",74737.0823927238,364471.606106264,548136.111089166,429505.236173759,1370787.86999882,1010382.49487291
"5",1,"2010","13978",62640.2288902502,364200.732600544,573599.251323619,117996.952537496,359221.200355048,467074.492969238
"6",1,"2010","1412",241820.419069076,1292468.52936079,2174153.1856283,990534.927009592,2737926.32685189,408186.876643411
"7",1,"2010","14418",105695.555617983,590672.792837637,964009.954433505,292338.725331479,864322.487974256,569910.719825004
"8",1,"2010","14849",23820.0912893158,150921.456288304,211568.261333563,54919.0939963178,150258.474953808,68990.4792397714
"9",1,"2010","15046",113843.571256013,599104.426109901,975361.685131349,535783.334613116,1486790.75715968,305674.956839652
"10",1,"2010","16747",21286.0226870531,127052.797308944,166107.519073856,80692.358585196,219344.222267807,67209.9504777681
"11",1,"2010","18031",24935.1735775088,142838.986800322,192180.399059594,113679.289009932,308600.418351923,81235.8325656414
"12",1,"2010","18178",311050.479070188,1925601.48080575,3343108.48935374,464144.04598982,1262310.68067619,391904.720885751
"13",1,"2010","184",175288.590720393,1045192.32409969,1774335.24048049,307782.169783769,889801.609639913,694813.107273904
"14",1,"2010","18445",168548.660694664,861588.25208465,1405616.28249514,768756.194324107,2262127.65172592,937532.763388783
"15",1,"2010","18956",186113.549506761,924308.722920129,1520215.55697427,1192153.79074401,3280184.94300216,273760.788695194
"16",1,"2010","19650",148802.036288064,739537.565667976,1194298.97572107,841118.941236239,2430839.16710989,728585.437532382
"17",1,"2010","20140",68168.7157202238,358063.437083595,559555.687733259,357238.021218915,990866.171667258,215189.533438796
"18",1,"2010","20381",85023.63796691,442704.010455748,702243.205502182,418401.928229936,1175910.2007479,308147.520848868
"19",1,"2010","21347",143393.542131855,710081.411997905,1145315.87255841,853405.69208772,2450485.111351,655007.960117262
"20",1,"2010","26626",18162.4000785947,115387.102441102,146908.357592486,43829.6268013386,120625.772083171,68556.0962790993
"21",1,"2010","27986",81013.513089902,433239.306794369,686268.895787319,314690.559656913,918365.441810125,431402.074359665
"22",1,"2010","28715",173872.542445083,894379.823778218,1463720.89449786,765201.619148018,2241386.84568991,904013.751801684
"23",1,"2010","28884",209823.740787643,1190159.70269089,2002136.3926592,476110.314410658,1405868.17452567,1026707.33997769
"24",1,"2010","31423",178207.185230507,878987.447923903,1426546.46439486,1019992.77527783,2965918.17344548,904182.061300743
"25",1,"2010","3183",87121.6904270109,477933.534123475,770329.318090594,313661.295860838,884220.45906683,309378.525964628
"26",1,"2010","33141",21605.658575078,133371.339735644,177661.623653165,54251.246310743,152613.382003155,95914.5787220651
"27",1,"2010","34172",31398.9847597462,177175.657688761,251048.508900586,129444.896628253,357727.27761456,106096.92947059
"28",1,"2010","36307",179924.768886102,1175614.52085534,2038045.48990026,130578.221324285,367955.306022148,542503.744306713
"29",1,"2010","36565",155953.013682735,1032788.12700233,1789181.37913998,100593.903041325,281649.586819339,451877.310867519
